Source,Destination,Type,Source_Latitude,Source_Longitude,Destination_Latitude,Destination_Longitude,Distance_km,Voltage_kV,Capacity_MW,Loss_Percent,Energy_Loss_MW,Loss_Cost_Per_Hour_INR,Loss_Cost_Per_Year_INR
Kappatagudda Wind Cluster,Hubballi-Dharwad Substation,wind,15.35,75.65,15.3647,75.124,56.424,66,250.0,1.241,3.103,20479.80,179403048.00
Kodasalli Power House,Kadra Power House,hydro,14.848,74.555,14.802,74.522,6.225,110,120.0,0.137,0.164,1082.40,9481824.00
Linganamakki Dam Power House,Gerusoppa Power House,hydro,14.205,74.833,14.205,74.652,19.511,66,55.0,0.429,0.236,1557.60,13644576.00
Linganamakki Dam Power House,Varahi Underground Power House,hydro,14.205,74.833,13.554,74.933,73.188,66,55.0,1.61,0.886,5847.60,51224976.00
Mangaluru Substation,Hassan Substation,substation,12.9141,74.856,13.0072,76.1004,135.243,220,307.544,2.975,9.149,60383.40,528958584.00
Mysuru Substation,Tumakuru Substation,substation,12.2958,76.6394,13.3379,77.1173,126.934,220,829.625,2.793,23.171,152928.60,1339654536.00
Nagjhari Power House,Kadra Power House,hydro,14.85,74.605,14.802,74.522,10.397,110,900.0,0.229,2.061,13602.60,119158776.00
Nagjhari Power House,Kodasalli Power House,hydro,14.85,74.605,14.848,74.555,5.379,110,900.0,0.118,1.062,7009.20,61400592.00
Pavagada Solar Park (Shakti Sthala),Tumakuru Substation,solar,14.1,77.28,13.3379,77.1173,86.545,220,2050.0,1.904,39.032,257611.20,2256674112.00
Raichur Thermal Power Station,Bellary Thermal Power Station,thermal,16.2274,77.3565,15.1421,76.8747,131.24,220,1720.0,2.887,49.656,327729.60,2870911296.00
Raichur Thermal Power Station,Kalaburagi Substation,thermal,16.2274,77.3565,17.3297,76.8343,134.588,220,1720.0,2.961,50.929,336131.40,2944511064.00
Raichur Thermal Power Station,Yermarus Thermal Power Station,thermal,16.2274,77.3565,16.1913,77.4363,9.419,220,1720.0,0.207,3.56,23496.00,205824960.00
Sharavathy Generating Station,Linganamakki Dam Power House,hydro,14.228,74.793,14.205,74.833,5.013,66,1035.0,0.11,1.138,7510.80,65794608.00
Shivamogga Substation,Varahi Underground Power House,substation,13.9299,75.5681,13.554,74.933,80.329,220,700.693,1.767,12.381,81714.60,715819896.00
Supa Dam Power House,Kodasalli Power House,hydro,14.95,74.68,14.848,74.555,17.58,110,100.0,0.387,0.387,2554.20,22374792.00
Supa Dam Power House,Nagjhari Power House,hydro,14.95,74.68,14.85,74.605,13.733,110,100.0,0.302,0.302,1993.20,17460432.00
Tumakuru Substation,Bengaluru (Kadabagere/Hoody) Substation,substation,13.3379,77.1173,12.9716,77.5946,65.802,220,1601.359,1.448,23.188,153040.80,1340637408.00
Tumakuru Substation,Hassan Substation,substation,13.3379,77.1173,13.0072,76.1004,116.077,220,1143.061,2.554,29.194,192680.40,1687880304.00
Varahi Underground Power House,Mangaluru Substation,hydro,13.554,74.933,12.9141,74.856,71.64,220,460.0,1.576,7.25,47850.00,419166000.00
Yermarus Thermal Power Station,Bellary Thermal Power Station,thermal,16.1913,77.4363,15.1421,76.8747,131.248,220,1600.0,2.887,46.192,304867.20,2670636672.00
